CustomerID,Lookalikes
C0001,C0004 (Score: 0.5686); C0013 (Score: 0.5675); C0012 (Score: 0.5672)
C0002,C0013 (Score: 0.5334); C0010 (Score: 0.5298); C0016 (Score: 0.5294)
C0003,C0012 (Score: 0.9854); C0004 (Score: 0.573); C0008 (Score: 0.5695)
C0004,C0011 (Score: 0.9791); C0006 (Score: 0.977); C0017 (Score: 0.6259)
C0005,C0007 (Score: 0.9992); C0001 (Score: 0.5247); C0002 (Score: 0.5197)
C0006,C0011 (Score: 0.9993); C0004 (Score: 0.977); C0013 (Score: 0.5791)
C0007,C0005 (Score: 0.9992); C0001 (Score: 0.533); C0002 (Score: 0.5239)
C0008,C0012 (Score: 0.6065); C0018 (Score: 0.6011); C0003 (Score: 0.5695)
C0009,C0010 (Score: 0.9788); C0002 (Score: 0.5006); C0014 (Score: 0.5004)
C0010,C0009 (Score: 0.9788); C0017 (Score: 0.5475); C0013 (Score: 0.5404)
C0011,C0006 (Score: 0.9993); C0004 (Score: 0.9791); C0013 (Score: 0.577)
C0012,C0003 (Score: 0.9854); C0004 (Score: 0.6216); C0013 (Score: 0.6132)
C0013,C0004 (Score: 0.6218); C0012 (Score: 0.6132); C0006 (Score: 0.5791)
C0014,C0009 (Score: 0.5004); C0019 (Score: 0.49); C0010 (Score: 0.4893)
C0015,C0018 (Score: 0.9342); C0019 (Score: 0.5053); C0016 (Score: 0.5035)
C0016,C0013 (Score: 0.5653); C0018 (Score: 0.5607); C0008 (Score: 0.5575)
C0017,C0019 (Score: 0.9704); C0004 (Score: 0.6259); C0018 (Score: 0.6068)
C0018,C0015 (Score: 0.9342); C0004 (Score: 0.6142); C0017 (Score: 0.6068)
C0019,C0017 (Score: 0.9704); C0004 (Score: 0.5467); C0018 (Score: 0.5467)
C0020,C0015 (Score: 0.5034); C0005 (Score: 0.5033); C0007 (Score: 0.5021)
